steps,date,interval
NA,01-10-2012,845
NA,01-10-2012,850
NA,01-10-2012,855
NA,01-10-2012,900
NA,01-10-2012,905
NA,01-10-2012,910
NA,01-10-2012,915
NA,01-10-2012,920
NA,01-10-2012,925
NA,01-10-2012,930
NA,01-10-2012,935
NA,01-10-2012,940
NA,01-10-2012,945
NA,01-10-2012,950
NA,01-10-2012,955
NA,01-10-2012,1000
NA,01-10-2012,1005
NA,01-10-2012,1010
NA,01-10-2012,1015
NA,01-10-2012,1020
NA,01-10-2012,1025
NA,01-10-2012,1030
NA,01-10-2012,1035
NA,01-10-2012,1040
NA,01-10-2012,1045
NA,01-10-2012,1050
NA,01-10-2012,1055
NA,01-10-2012,1100
NA,01-10-2012,1105
NA,01-10-2012,1110
NA,01-10-2012,1115
NA,01-10-2012,1120
NA,01-10-2012,1125
NA,01-10-2012,1130
NA,01-10-2012,1135
NA,01-10-2012,1140
NA,01-10-2012,1145
NA,01-10-2012,1150
NA,01-10-2012,1155
NA,01-10-2012,1200
NA,01-10-2012,1205
NA,01-10-2012,1210
NA,01-10-2012,1215
NA,01-10-2012,1220
NA,01-10-2012,1225
NA,01-10-2012,1230
NA,01-10-2012,1235
NA,01-10-2012,1240
NA,01-10-2012,1245
NA,01-10-2012,1250
NA,01-10-2012,1255
NA,01-10-2012,1300
NA,01-10-2012,1305
NA,01-10-2012,1310
NA,01-10-2012,1315
NA,01-10-2012,1320
NA,01-10-2012,1325
NA,01-10-2012,1330
NA,01-10-2012,1335
NA,01-10-2012,1340
NA,01-10-2012,1345
NA,01-10-2012,1350
NA,01-10-2012,1355
NA,01-10-2012,1400
NA,01-10-2012,1405
NA,01-10-2012,1410
NA,01-10-2012,1415
NA,01-10-2012,1420
NA,01-10-2012,1425
NA,01-10-2012,1430
NA,01-10-2012,1435
NA,01-10-2012,1440
NA,01-10-2012,1445
NA,01-10-2012,1450
NA,01-10-2012,1455
NA,01-10-2012,1500
NA,01-10-2012,1505
NA,01-10-2012,1510
NA,01-10-2012,1515
NA,01-10-2012,1520
NA,01-10-2012,1525
NA,01-10-2012,1530
NA,01-10-2012,1535
NA,01-10-2012,1540
NA,01-10-2012,1545
NA,01-10-2012,1550
NA,01-10-2012,1555
NA,01-10-2012,1600
NA,01-10-2012,1605
NA,01-10-2012,1610
NA,01-10-2012,1615
NA,01-10-2012,1620
NA,01-10-2012,1625
NA,01-10-2012,1630
NA,01-10-2012,1635
NA,01-10-2012,1640
NA,01-10-2012,1645
NA,01-10-2012,1650
NA,01-10-2012,1655
NA,01-10-2012,1700
NA,01-10-2012,1705
NA,01-10-2012,1710
NA,01-10-2012,1715
NA,01-10-2012,1720
NA,01-10-2012,1725
NA,01-10-2012,1730
NA,01-10-2012,1735
NA,01-10-2012,1740
NA,01-10-2012,1745
NA,01-10-2012,1750
NA,01-10-2012,1755
NA,01-10-2012,1800
NA,01-10-2012,1805
NA,01-10-2012,1810
NA,01-10-2012,1815
NA,01-10-2012,1820
NA,01-10-2012,1825
NA,01-10-2012,1830
NA,01-10-2012,1835
NA,01-10-2012,1840
NA,01-10-2012,1845
NA,01-10-2012,1850
NA,01-10-2012,1855
NA,01-10-2012,1900
NA,01-10-2012,1905
NA,01-10-2012,1910
NA,01-10-2012,1915
NA,01-10-2012,1920
NA,01-10-2012,1925
NA,01-10-2012,1930
NA,01-10-2012,1935
NA,01-10-2012,1940
NA,01-10-2012,1945
NA,01-10-2012,1950
NA,01-10-2012,1955
NA,01-10-2012,2000
NA,01-10-2012,2005
NA,01-10-2012,2010
NA,01-10-2012,2015
NA,01-10-2012,2020
NA,01-10-2012,2025
NA,01-10-2012,2030
NA,01-10-2012,2035
NA,01-10-2012,2040
NA,01-10-2012,2045
NA,01-10-2012,2050
